trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0151537	0.00281
0.0027	-0.0237	0.0377	0.00016406094968746698	-0.0001064650843716541	0.00015533430342749534	0.91765332	27.36220169	0.8859262	0.08539301687433082	0.0153165	0.00274
-0.0097	-0.0218	0.0134	0.00033684854563490564	-0.0002740166925631097	0.0003647738136668148	0.90786034	27.07019997	0.86864374	0.06608893571891068	0.0144629	0.00219
-0.0201	-0.0138	-0.0059	0.00011344640137963142	-0.00033684854563490564	6.806784082777885e-05	0.9429704	28.11709595	0.90376102	0.0668469985083053	0.0139434	0.00164
-0.0267	-0.0031	0.0057	0.0001832595714594046	-0.0005288347633542819	-0.000322885911618951	0.95654076	28.52173233	0.9138197	0.06153765701229396	0.0136607	0.00135
-0.0279	-0.0324	-0.0008	0.0004415683007545654	-0.0008988445647770796	-0.0002652900463031381	0.97020143	28.92905998	0.93248317	0.07129571980168857	0.0128427	0.00142
-0.0379	-0.0258	-0.0043	0.0004572762640225143	-0.0009564404300928925	-0.0003717551306747922	0.91594046	27.31112862	0.89228117	0.0290884456477708	0.0128534	0.00116
-0.0435	-0.0209	-0.0151	0.0003089232776029963	-0.0008569566627292158	-0.0005183627878423159	0.94160122	28.07627106	0.89089643	0.04102222054753592	0.0127765	0.00115
-0.0514	-0.02	-0.033	0.00020420352248333657	-0.0008779006137531476	-0.0005532693728822024	0.94794542	28.26543999	0.88400334	0.03472851455917391	0.0129333	0.0013
-0.0464	-0.018	-0.0269	0.0001239183768915974	-0.0008377580409572782	-0.00042236967898262774	0.91588503	27.30947685	0.87400638	0.02566637061435917	0.0127462	0.00122
-0.0585	-0.0257	-0.0374	4.886921905584123e-05	-0.0012112585008840647	-0.0003665191429188092	0.9327336	27.81185913	0.88995867	0.055520007691318075	0.0124507	0.001
-0.0592	-0.0216	-0.0522	-8.37758040957278e-05	-0.0011885692206081383	-0.0003822271061867582	0.9311763	27.76542473	0.89104697	0.028152113334772216	0.0123012	0.00089
-0.0614	-0.0276	-0.073	-3.141592653589793e-05	-0.001308996938995747	-6.981317007977319e-05	0.96083575	28.64979744	0.9063305	0.05326007660272117	0.0119738	0.00086
-0.0646	-0.0227	-0.0686	-8.203047484373349e-05	-0.0013107422682477415	-0.00017802358370342162	0.96777046	28.85657501	0.89015896	0.02052851455917392	0.0124412	0.00086
-0.0715	-0.0165	-0.0608	-0.00023911010752322313	-0.0014049900478554352	-0.000450294947014537	0.93086618	27.7561779	0.87960642	0.047079938779914926	0.0123348	0.00091
-0.0848	-0.0186	-0.0697	-0.0001972222054753592	-0.001616174887346749	-0.0005881759579220891	0.88086307	26.26520538	0.86695249	0.04384768762233649	0.0124725	0.00115
-0.0952	-0.0103	-0.0719	-0.0003682644721708035	-0.0016912240451825054	-0.0006928957130417488	0.94193858	28.08633041	0.88876236	0.03844055898254303	0.0127004	0.00091
-0.094	-0.008	-0.0756	-0.00026878070480712676	-0.0015760323145508795	-0.0005532693728822024	0.94988036	28.32313538	0.87982677	0.02491509190774245	0.0126603	0.00098
-0.0898	-0.0107	-0.0916	-0.0002844886680750757	-0.0016650441064025902	-0.0005218534463463045	0.98081332	29.24548149	0.90062519	0.02970678408277787	0.0127378	0.00107
-0.0936	-0.0023	-0.0807	-0.00023212879051524583	-0.0016859880574265225	-0.000598647933434055	0.97898698	29.19102287	0.90866732	0.03060491578357564	0.0127022	0.00099
