trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	dvars_std	dvars_nstd	dvars_vstd	framewise_displacement	aqi	aor
0.0	-0.0	0.0	-0.0	0.0	-0.0	n/a	n/a	n/a	n/a	0.0174345	0.00379
-0.0122	0.0064	0.0135	-0.00010297442586766544	-0.00020769418098732522	1.0471975511965975e-05	0.94298929	23.58165741	0.93386348	0.04815702911834784	0.0156814	0.00215
-0.0058	0.0116	0.0729	-0.0002548180707911721	-0.00027925268031909274	9.773843811168246e-05	0.93540478	23.39198875	0.94065853	0.08653343034274953	0.012796	0.00123
-0.0062	0.0128	0.0921	-0.0002600540585471551	-0.00027925268031909274	-2.6179938779914945e-05	0.93478537	23.37649918	1.01180803	0.027257718232379012	0.0114977	0.00079
-0.0042	0.0263	0.0832	-0.0006178465552059926	-0.00016406094968746698	2.792526803190927e-05	1.02780652	25.70271111	1.03494123	0.05075447170511438	0.0124254	0.00123
-0.0016	0.0185	0.1457	-0.000445058959258554	-0.0001605702911834783	-2.094395102393195e-05	1.01736164	25.44151306	0.97386165	0.08415737367536344	0.0111717	0.0007
0.0005	0.0279	0.1785	-0.00021467549799530252	-0.00021642082724729686	-0.00015009831567151235	0.94881868	23.72743416	0.93908232	0.06506941809873251	0.00973594	0.00045
-0.0004	0.0243	0.2107	5.4105206811824215e-05	-0.0004188790204786391	-0.00014660765716752367	1.00531471	25.14025116	0.93074334	0.060436477827122886	0.0107638	0.00057
0.0005	0.0255	0.2663	0.0005759586531581287	-0.0004799655442984406	-0.0002129301687433082	0.98653603	24.67064476	0.94275182	0.09016312408709448	0.00953865	0.00059
0.0003	0.0432	0.3615	0.0006597344572538566	-0.0005026548245743669	-0.0003316125578789226	1.02755451	25.69640732	1.0029953	0.12435737367536343	0.00919753	0.00049
0.0015	0.0512	0.4032	0.0005532693728822024	-0.00037350045992678646	-0.0003525565089028545	0.90983969	22.7526741	0.91141288	0.06372817000215833	0.00899202	0.00048
0.0037	0.0558	0.4195	0.0005078908123303499	-0.0003438298626428829	-0.0002897246558310587	0.88259995	22.0714798	0.90483267	0.02999405054537757	0.00817794	0.00046
-0.009	0.0519	0.3985	0.0002373647782712288	-0.00013264502315156904	-0.0005864306286700947	0.92920309	23.23690033	0.91296536	0.07652084231947351	0.00540215	0.00022
-0.0204	0.0564	0.3378	-0.0005550147021341969	1.2217304763960308e-05	-0.0006754424205218055	0.98221421	24.56256866	0.97526146	0.12791268000863332	0.00444686	0.00017
-0.0348	0.0376	0.3029	-0.000645771823237902	8.726646259971648e-06	-0.0007661995416255106	0.94603264	23.65776253	0.93017211	0.07735024503556992	0.00444341	0.00019
-0.0286	0.0461	0.3306	-0.0009354964790689606	0.00012217304763960306	-0.0007609635538695277	0.92606711	23.15847778	0.92947473	0.06282035224833364	0.0052371	0.0002
-0.0333	0.0453	0.3045	-0.0010157816246606998	4.0142572795869576e-05	-0.0007609635538695277	0.85901463	21.48167419	0.88715212	0.03971578102177365	0.00531328	0.00022
-0.0243	0.0423	0.3285	-0.0010943214410004448	0.00010821041362364843	-0.0007243116395776468	0.85197133	21.30554008	0.88903769	0.04516297857297026	0.00530201	0.00022
-0.0296	0.0364	0.3372	-0.0010803588069844899	6.632251157578452e-05	-0.0007120943348136865	0.90009326	22.50894165	0.91203971	0.023303392041388944	0.00502348	0.0002
-0.0297	0.0425	0.3442	-0.0012095131716320703	0.0002617993877991494	-0.0006632251157578452	0.93284863	23.32806587	0.91828587	0.03187502299633933	0.00470716	0.00025
-0.0338	0.0509	0.3317	-0.0012164944886400475	0.000439822971502571	-0.0007225663103256524	0.91242898	22.81742477	0.90027435	0.03721730476396031	0.00455415	0.00026
-0.0469	0.0511	0.2763	-0.0016615534478986017	0.00040666171571467877	-0.0010890854532444615	1.16609764	29.16100311	1.11069107	0.11093696789826278	0.0061686	0.00195
-0.0443	0.0948	0.2485	-0.002267182698340634	0.00017453292519943296	-0.0008360127117052838	1.29706621	32.43618011	1.15038395	0.12864153912482276	0.00654334	0.00066
-0.0411	0.0752	0.2211	-0.0016545721308906245	1.3962634015954635e-05	-0.000804596785169386	1.1114043	27.79327011	1.00482759	0.09042983925846929	0.00652134	0.00034
-0.0438	0.0461	0.1859	-0.0015498523757709647	0.00014660765716752367	-0.0009023352232810684	1.07751954	26.94590187	0.98601739	0.08375516081914555	0.00829768	0.00045
-0.0487	0.0467	0.1558	-0.0015323990832510211	5.235987755982988e-06	-0.0008936085770210966	1.08027184	27.01472855	1.00017381	0.043977580409572815	0.0085361	0.00074
